"CODE_ID","DESC_FRE","DESC_ENG","PROV_CODE_ID","PROV_DESC_FRE","PROV_DESC_ENG"
19268,"UCLUELET","UCLUELET",172,"Colombie-Britannique","British Columbia"
19269,"UNION BAY","UNION BAY",172,"Colombie-Britannique","British Columbia"
19271,"VALDES ISLAND","VALDES ISLAND",172,"Colombie-Britannique","British Columbia"
19275,"VANCOUVER","VANCOUVER",172,"Colombie-Britannique","British Columbia"
19280,"VESUVIUS","VESUVIUS",172,"Colombie-Britannique","British Columbia"
19281,"VICTORIA","VICTORIA",172,"Colombie-Britannique","British Columbia"
19283,"WAGLISLA","WAGLISLA",172,"Colombie-Britannique","British Columbia"
19285,"WALL BEACH","WALL BEACH",172,"Colombie-Britannique","British Columbia"
19289,"WASA","WASA",172,"Colombie-Britannique","British Columbia"
19290,"WELLINGTON","WELLINGTON",172,"Colombie-Britannique","British Columbia"
19292,"WEST VANCOUVER","WEST VANCOUVER",172,"Colombie-Britannique","British Columbia"
19293,"WESTBANK","WESTBANK",172,"Colombie-Britannique","British Columbia"
19296,"WESTSIDE","WESTSIDE",172,"Colombie-Britannique","British Columbia"
19297,"WESTVIEW","WESTVIEW",172,"Colombie-Britannique","British Columbia"
19299,"WHALETOWN","WHALETOWN",172,"Colombie-Britannique","British Columbia"
19300,"WHALLEY","WHALLEY",172,"Colombie-Britannique","British Columbia"
19303,"WHITE ROCK","WHITE ROCK",172,"Colombie-Britannique","British Columbia"
19304,"WHONNOCK","WHONNOCK",172,"Colombie-Britannique","British Columbia"
19305,"WILLIAMS LAKE","WILLIAMS LAKE",172,"Colombie-Britannique","British Columbia"
19308,"WILSON CREEK","WILSON CREEK",172,"Colombie-Britannique","British Columbia"
19309,"WINDERMERE","WINDERMERE",172,"Colombie-Britannique","British Columbia"
19312,"WINTER HARBOUR","WINTER HARBOUR",172,"Colombie-Britannique","British Columbia"
19314,"WOSS","WOSS",172,"Colombie-Britannique","British Columbia"
19320,"YOUBOU","YOUBOU",172,"Colombie-Britannique","British Columbia"
19321,"ZEBALLOS","ZEBALLOS",172,"Colombie-Britannique","British Columbia"
19322,"ABOITEAU","ABOITEAU",176,"Nouveau-Brunswick","New Brunswick"
19323,"ABOUJAGANE","ABOUJAGANE",176,"Nouveau-Brunswick","New Brunswick"
19324,"ALDERWOOD","ALDERWOOD",176,"Nouveau-Brunswick","New Brunswick"
19325,"ALDOUANE","ALDOUANE",176,"Nouveau-Brunswick","New Brunswick"
19326,"ALLARDVILLE","ALLARDVILLE",176,"Nouveau-Brunswick","New Brunswick"
19327,"ALMA","ALMA",176,"Nouveau-Brunswick","New Brunswick"
19328,"AMOS POINT","AMOS POINT",176,"Nouveau-Brunswick","New Brunswick"
19329,"ANSE-BLEUE","ANSE-BLEUE",176,"Nouveau-Brunswick","New Brunswick"
19330,"ARMSTRONG BROOK","ARMSTRONG BROOK",176,"Nouveau-Brunswick","New Brunswick"
19331,"ATHOLVILLE","ATHOLVILLE",176,"Nouveau-Brunswick","New Brunswick"
19332,"AULAC","AULAC",176,"Nouveau-Brunswick","New Brunswick"
19333,"BABINEAU","BABINEAU",176,"Nouveau-Brunswick","New Brunswick"
19334,"BACK BAY","BACK BAY",176,"Nouveau-Brunswick","New Brunswick"
19335,"BAIE DE PETIT POKEMOUCHE","BAIE DE PETIT POKEMOUCHE",176,"Nouveau-Brunswick","New Brunswick"
19336,"BAIE STE. ANNE","BAIE STE. ANNE",176,"Nouveau-Brunswick","New Brunswick"
19337,"BAIE VERTE","BAIE VERTE",176,"Nouveau-Brunswick","New Brunswick"
19338,"BAINS CORNER","BAINS CORNER",176,"Nouveau-Brunswick","New Brunswick"
19339,"BALMORAL","BALMORAL",176,"Nouveau-Brunswick","New Brunswick"
19340,"BARACHOIS","BARACHOIS",176,"Nouveau-Brunswick","New Brunswick"
19341,"BARKER'S POINT","BARKER'S POINT",176,"Nouveau-Brunswick","New Brunswick"
19342,"BARRYVILLE","BARRYVILLE",176,"Nouveau-Brunswick","New Brunswick"
19343,"BARTIBOG BRIDGE","BARTIBOG BRIDGE",176,"Nouveau-Brunswick","New Brunswick"
19344,"BAS CAP PELE","BAS CAP PELE",176,"Nouveau-Brunswick","New Brunswick"
19345,"BAS CARAQUET","BAS CARAQUET",176,"Nouveau-Brunswick","New Brunswick"
19346,"BAS NEGUAC","BAS NEGUAC",176,"Nouveau-Brunswick","New Brunswick"
19347,"BASS RIVER (GLOUCESTER)","BASS RIVER (GLOUCESTER)",176,"Nouveau-Brunswick","New Brunswick"
19348,"BASS RIVER (KENT)","BASS RIVER (KENT)",176,"Nouveau-Brunswick","New Brunswick"
19349,"BATHURST","BATHURST",176,"Nouveau-Brunswick","New Brunswick"
19350,"BAY DU VIN RIVER","BAY DU VIN RIVER",176,"Nouveau-Brunswick","New Brunswick"
19351,"BAYFIELD","BAYFIELD",176,"Nouveau-Brunswick","New Brunswick"
19352,"BAYSIDE (BOTSFORD)","BAYSIDE (BOTSFORD)",176,"Nouveau-Brunswick","New Brunswick"
19353,"BAYSIDE (POINT CROIX)","BAYSIDE (POINT CROIX)",176,"Nouveau-Brunswick","New Brunswick"
19354,"BAYSWATER","BAYSWATER",176,"Nouveau-Brunswick","New Brunswick"
19355,"BEAUDIN ROAD","BEAUDIN ROAD",176,"Nouveau-Brunswick","New Brunswick"
19356,"BEAUMONT","BEAUMONT",176,"Nouveau-Brunswick","New Brunswick"
19357,"BEAVER HARBOUR","BEAVER HARBOUR",176,"Nouveau-Brunswick","New Brunswick"
19358,"BEDEC","BEDEC",176,"Nouveau-Brunswick","New Brunswick"
19359,"BEERSVILLE","BEERSVILLE",176,"Nouveau-Brunswick","New Brunswick"
19360,"BELLEDUNE","BELLEDUNE",176,"Nouveau-Brunswick","New Brunswick"
19361,"BELLEDUNE RIVER","BELLEDUNE RIVER",176,"Nouveau-Brunswick","New Brunswick"
19362,"BELLEISLE BAY","BELLEISLE BAY",176,"Nouveau-Brunswick","New Brunswick"
19363,"BELLIVEAU VILLAGE","BELLIVEAU VILLAGE",176,"Nouveau-Brunswick","New Brunswick"
19364,"BELLS MILLS","BELLS MILLS",176,"Nouveau-Brunswick","New Brunswick"
19365,"BENJAMIN RIVER","BENJAMIN RIVER",176,"Nouveau-Brunswick","New Brunswick"
19366,"BERESFORD","BERESFORD",176,"Nouveau-Brunswick","New Brunswick"
19367,"BERTRAND","BERTRAND",176,"Nouveau-Brunswick","New Brunswick"
19368,"BETHEL","BETHEL",176,"Nouveau-Brunswick","New Brunswick"
19369,"BIG COVE","BIG COVE",176,"Nouveau-Brunswick","New Brunswick"
19370,"BIG TRACADIE RIVER","BIG TRACADIE RIVER",176,"Nouveau-Brunswick","New Brunswick"
19371,"BIRCH COVE","BIRCH COVE",176,"Nouveau-Brunswick","New Brunswick"
19372,"BLACK LAND","BLACK LAND",176,"Nouveau-Brunswick","New Brunswick"
19373,"BLACK POINT","BLACK POINT",176,"Nouveau-Brunswick","New Brunswick"
19374,"BLACK RIVER (NORTHUMBERLAND)","BLACK RIVER (NORTHUMBERLAND)",176,"Nouveau-Brunswick","New Brunswick"
19375,"BLACK RIVER (ST. JOHN)","BLACK RIVER (ST. JOHN)",176,"Nouveau-Brunswick","New Brunswick"
19382,"AHOUSAT","AHOUSAT",172,"Colombie-Britannique","British Columbia"
19383,"AINSWORTH HOT SPRINGS","AINSWORTH HOT SPRINGS",172,"Colombie-Britannique","British Columbia"
19385,"ALBION","ALBION",172,"Colombie-Britannique","British Columbia"
19387,"ALERT BAY","ALERT BAY",172,"Colombie-Britannique","British Columbia"
19389,"ALICE ARM","ALICE ARM",172,"Colombie-Britannique","British Columbia"
19393,"ANGLEMONT","ANGLEMONT",172,"Colombie-Britannique","British Columbia"
19396,"ARGENTA","ARGENTA",172,"Colombie-Britannique","British Columbia"
19398,"ARRANDALE","ARRANDALE",172,"Colombie-Britannique","British Columbia"
19402,"ATLIN","ATLIN",172,"Colombie-Britannique","British Columbia"
19406,"BALFOUR","BALFOUR",172,"Colombie-Britannique","British Columbia"
19407,"BAMFIELD","BAMFIELD",172,"Colombie-Britannique","British Columbia"
19409,"BARNET","BARNET",172,"Colombie-Britannique","British Columbia"
19410,"BARNSTON ISLAND","BARNSTON ISLAND",172,"Colombie-Britannique","British Columbia"
19412,"BEACH GROVE","BEACH GROVE",172,"Colombie-Britannique","British Columbia"
19414,"BEAVER COVE","BEAVER COVE",172,"Colombie-Britannique","British Columbia"
19416,"BELCARRA","BELCARRA",172,"Colombie-Britannique","British Columbia"
19417,"BELLA BELLA","BELLA BELLA",172,"Colombie-Britannique","British Columbia"
19418,"BELLA COOLA","BELLA COOLA",172,"Colombie-Britannique","British Columbia"
19419,"BIG BAY","BIG BAY",172,"Colombie-Britannique","British Columbia"
19421,"BLACK CREEK","BLACK CREEK",172,"Colombie-Britannique","British Columbia"
19422,"BLIND BAY","BLIND BAY",172,"Colombie-Britannique","British Columbia"
19423,"BLIND CHANNEL","BLIND CHANNEL",172,"Colombie-Britannique","British Columbia"
19424,"BLUBBER BAY","BLUBBER BAY",172,"Colombie-Britannique","British Columbia"
19428,"BOSWELL","BOSWELL",172,"Colombie-Britannique","British Columbia"
19430,"BOWEN ISLAND","BOWEN ISLAND",172,"Colombie-Britannique","British Columbia"
19431,"BOWSER","BOWSER",172,"Colombie-Britannique","British Columbia"
19434,"BRENTWOOD BAY","BRENTWOOD BAY",172,"Colombie-Britannique","British Columbia"
19436,"BRIDGE LAKE","BRIDGE LAKE",172,"Colombie-Britannique","British Columbia"
19438,"BRITANNIA BEACH","BRITANNIA BEACH",172,"Colombie-Britannique","British Columbia"
19442,"BURNABY","BURNABY",172,"Colombie-Britannique","British Columbia"
19445,"BUTEDALE","BUTEDALE",172,"Colombie-Britannique","British Columbia"
19447,"CAMPBELL ISLAND","CAMPBELL ISLAND",172,"Colombie-Britannique","British Columbia"
19448,"CAMPBELL RIVER","CAMPBELL RIVER",172,"Colombie-Britannique","British Columbia"
19450,"CANIM LAKE","CANIM LAKE",172,"Colombie-Britannique","British Columbia"
19451,"CANOE","CANOE",172,"Colombie-Britannique","British Columbia"
19460,"CELISTA","CELISTA",172,"Colombie-Britannique","British Columbia"
19463,"CHASE","CHASE",172,"Colombie-Britannique","British Columbia"
19464,"CHEMAINUS","CHEMAINUS",172,"Colombie-Britannique","British Columbia"
19468,"CHRISTINA LAKE","CHRISTINA LAKE",172,"Colombie-Britannique","British Columbia"
19471,"CLAYOQUOT","CLAYOQUOT",172,"Colombie-Britannique","British Columbia"
19476,"COAL HARBOUR","COAL HARBOUR",172,"Colombie-Britannique","British Columbia"
19480,"COLWOOD","COLWOOD",172,"Colombie-Britannique","British Columbia"
19481,"COMOX","COMOX",172,"Colombie-Britannique","British Columbia"
19483,"COQUITLAM","COQUITLAM",172,"Colombie-Britannique","British Columbia"
19484,"CORDOVA BAY","CORDOVA BAY",172,"Colombie-Britannique","British Columbia"
19485,"CORTES BAY","CORTES BAY",172,"Colombie-Britannique","British Columbia"
19486,"CORTES ISLAND","CORTES ISLAND",172,"Colombie-Britannique","British Columbia"
19487,"COURTENAY","COURTENAY",172,"Colombie-Britannique","British Columbia"
19488,"COWICHAN BAY","COWICHAN BAY",172,"Colombie-Britannique","British Columbia"
19490,"CRAWFORD BAY","CRAWFORD BAY",172,"Colombie-Britannique","British Columbia"
19491,"CRESCENT SPUR","CRESCENT SPUR",172,"Colombie-Britannique","British Columbia"
19494,"CROFTON","CROFTON",172,"Colombie-Britannique","British Columbia"
19501,"DAWSONS LANDING","DAWSONS LANDING",172,"Colombie-Britannique","British Columbia"
19503,"DECKER LAKE","DECKER LAKE",172,"Colombie-Britannique","British Columbia"
19504,"DEEP BAY","DEEP BAY",172,"Colombie-Britannique","British Columbia"
19505,"DEEP COVE","DEEP COVE",172,"Colombie-Britannique","British Columbia"
19506,"DELTA","DELTA",172,"Colombie-Britannique","British Columbia"
19507,"DENMAN ISLAND","DENMAN ISLAND",172,"Colombie-Britannique","British Columbia"
19508,"DENNY ISLAND","DENNY ISLAND",172,"Colombie-Britannique","British Columbia"
19514,"DUNCAN","DUNCAN",172,"Colombie-Britannique","British Columbia"
19516,"EAGLE BAY","EAGLE BAY",172,"Colombie-Britannique","British Columbia"
19517,"EAGLE CREEK","EAGLE CREEK",172,"Colombie-Britannique","British Columbia"
19521,"EDGEWOOD","EDGEWOOD",172,"Colombie-Britannique","British Columbia"
19522,"EGMONT","EGMONT",172,"Colombie-Britannique","British Columbia"
19529,"ESQUIMALT","ESQUIMALT",172,"Colombie-Britannique","British Columbia"
19532,"FANNY BAY","FANNY BAY",172,"Colombie-Britannique","British Columbia"
19534,"FAUQUIER","FAUQUIER",172,"Colombie-Britannique","British Columbia"
19545,"FRANKLIN RIVER","FRANKLIN RIVER",172,"Colombie-Britannique","British Columbia"
19547,"FRENCH CREEK","FRENCH CREEK",172,"Colombie-Britannique","British Columbia"
19549,"FULFORD HARBOUR","FULFORD HARBOUR",172,"Colombie-Britannique","British Columbia"
19550,"GABRIOLA","GABRIOLA",172,"Colombie-Britannique","British Columbia"
19551,"GABRIOLA ISLAND","GABRIOLA ISLAND",172,"Colombie-Britannique","British Columbia"
19552,"GALIANO","GALIANO",172,"Colombie-Britannique","British Columbia"
19553,"GALIANO ISLAND","GALIANO ISLAND",172,"Colombie-Britannique","British Columbia"
19555,"GAMBIER ISLAND","GAMBIER ISLAND",172,"Colombie-Britannique","British Columbia"
19557,"GANGES","GANGES",172,"Colombie-Britannique","British Columbia"
19558,"GARDEN BAY","GARDEN BAY",172,"Colombie-Britannique","British Columbia"
19562,"GIBSONS","GIBSONS",172,"Colombie-Britannique","British Columbia"
19563,"GILLIES BAY","GILLIES BAY",172,"Colombie-Britannique","British Columbia"
19564,"GITWINKSIHLKW","GITWINKSIHLKW",172,"Colombie-Britannique","British Columbia"
19565,"GLEN LAKE","GLEN LAKE",172,"Colombie-Britannique","British Columbia"
19568,"GOLD RIVER","GOLD RIVER",172,"Colombie-Britannique","British Columbia"
19573,"GRANISLE","GRANISLE",172,"Colombie-Britannique","British Columbia"
19574,"GRANTHAMS LANDING","GRANTHAMS LANDING",172,"Colombie-Britannique","British Columbia"
19577,"GRAY CREEK","GRAY CREEK",172,"Colombie-Britannique","British Columbia"
19578,"GREENVILLE","GREENVILLE",172,"Colombie-Britannique","British Columbia"
19582,"HAGENSBORG","HAGENSBORG",172,"Colombie-Britannique","British Columbia"
19583,"HAISLA","HAISLA",172,"Colombie-Britannique","British Columbia"
19584,"HALFMOON BAY","HALFMOON BAY",172,"Colombie-Britannique","British Columbia"
19586,"HANEY","HANEY",172,"Colombie-Britannique","British Columbia"
19588,"HARRISON HOT SPRINGS","HARRISON HOT SPRINGS",172,"Colombie-Britannique","British Columbia"
19589,"HARRISON MILLS","HARRISON MILLS",172,"Colombie-Britannique","British Columbia"
19591,"HARTLEY BAY","HARTLEY BAY",172,"Colombie-Britannique","British Columbia"
19595,"HERIOT BAY","HERIOT BAY",172,"Colombie-Britannique","British Columbia"
19597,"HOLBERG","HOLBERG",172,"Colombie-Britannique","British Columbia"
19598,"HONEYMOON BAY","HONEYMOON BAY",172,"Colombie-Britannique","British Columbia"
19600,"HOPKINS LANDING","HOPKINS LANDING",172,"Colombie-Britannique","British Columbia"
19601,"HORNBY ISLAND","HORNBY ISLAND",172,"Colombie-Britannique","British Columbia"
19606,"INVERMERE","INVERMERE",172,"Colombie-Britannique","British Columbia"
19607,"IOCO","IOCO",172,"Colombie-Britannique","British Columbia"
19610,"JUSKATLA","JUSKATLA",172,"Colombie-Britannique","British Columbia"
19612,"KAMLOOPS","KAMLOOPS",172,"Colombie-Britannique","British Columbia"
19613,"KASLO","KASLO",172,"Colombie-Britannique","British Columbia"
19614,"KEATING","KEATING",172,"Colombie-Britannique","British Columbia"
19615,"KEATS ISLAND","KEATS ISLAND",172,"Colombie-Britannique","British Columbia"
19616,"KELOWNA","KELOWNA",172,"Colombie-Britannique","British Columbia"
19620,"KILDONAN","KILDONAN",172,"Colombie-Britannique","British Columbia"
19622,"KINCOLITH","KINCOLITH",172,"Colombie-Britannique","British Columbia"
19623,"KINGCOME INLET","KINGCOME INLET",172,"Colombie-Britannique","British Columbia"
19627,"KITIMAT","KITIMAT",172,"Colombie-Britannique","British Columbia"
19628,"KITKATLA","KITKATLA",172,"Colombie-Britannique","British Columbia"
19629,"KITWANGA","KITWANGA",172,"Colombie-Britannique","British Columbia"
19631,"KLEMTU","KLEMTU",172,"Colombie-Britannique","British Columbia"
19633,"KOKISH","KOKISH",172,"Colombie-Britannique","British Columbia"
19635,"KOOTENAY BAY","KOOTENAY BAY",172,"Colombie-Britannique","British Columbia"
19636,"KYUQUOT","KYUQUOT",172,"Colombie-Britannique","British Columbia"
19637,"LAC LA HACHE","LAC LA HACHE",172,"Colombie-Britannique","British Columbia"
19638,"LAC LE JEUNE","LAC LE JEUNE",172,"Colombie-Britannique","British Columbia"
19639,"LADNER","LADNER",172,"Colombie-Britannique","British Columbia"
19640,"LADYSMITH","LADYSMITH",172,"Colombie-Britannique","British Columbia"
19642,"LAKE COWICHAN","LAKE COWICHAN",172,"Colombie-Britannique","British Columbia"
19643,"LAKE ERROCK","LAKE ERROCK",172,"Colombie-Britannique","British Columbia"
19645,"LANGDALE","LANGDALE",172,"Colombie-Britannique","British Columbia"
19646,"LANGFORD","LANGFORD",172,"Colombie-Britannique","British Columbia"
19648,"LANTZVILLE","LANTZVILLE",172,"Colombie-Britannique","British Columbia"
19649,"LARDEAU","LARDEAU",172,"Colombie-Britannique","British Columbia"
19650,"LASQUETI","LASQUETI",172,"Colombie-Britannique","British Columbia"
19651,"LASQUETI ISLAND","LASQUETI ISLAND",172,"Colombie-Britannique","British Columbia"
19653,"LAX KW'ALAAMS","LAX KW'ALAAMS",172,"Colombie-Britannique","British Columbia"
19654,"LAZO","LAZO",172,"Colombie-Britannique","British Columbia"
19657,"LINDELL BEACH","LINDELL BEACH",172,"Colombie-Britannique","British Columbia"
19658,"LIONS BAY","LIONS BAY",172,"Colombie-Britannique","British Columbia"
19668,"LUND","LUND",172,"Colombie-Britannique","British Columbia"
19671,"MADEIRA PARK","MADEIRA PARK",172,"Colombie-Britannique","British Columbia"
19672,"MAGNA BAY","MAGNA BAY",172,"Colombie-Britannique","British Columbia"
19673,"MAHATTA RIVER","MAHATTA RIVER",172,"Colombie-Britannique","British Columbia"
19675,"MALAHAT","MALAHAT",172,"Colombie-Britannique","British Columbia"
19679,"MANSONS LANDING","MANSONS LANDING",172,"Colombie-Britannique","British Columbia"
19680,"MAPLE BAY","MAPLE BAY",172,"Colombie-Britannique","British Columbia"
19681,"MAPLE RIDGE","MAPLE RIDGE",172,"Colombie-Britannique","British Columbia"
19684,"MASSET","MASSET",172,"Colombie-Britannique","British Columbia"
19686,"MAYNE","MAYNE",172,"Colombie-Britannique","British Columbia"
19687,"MAYNE ISLAND","MAYNE ISLAND",172,"Colombie-Britannique","British Columbia"
19689,"MCLEESE LAKE","MCLEESE LAKE",172,"Colombie-Britannique","British Columbia"
19694,"MERVILLE","MERVILLE",172,"Colombie-Britannique","British Columbia"
19695,"MESACHIE LAKE","MESACHIE LAKE",172,"Colombie-Britannique","British Columbia"
19696,"METCHOSIN","METCHOSIN",172,"Colombie-Britannique","British Columbia"
19697,"METLAKATLA","METLAKATLA",172,"Colombie-Britannique","British Columbia"
19700,"MILL BAY","MILL BAY",172,"Colombie-Britannique","British Columbia"
19702,"MINSTREL ISLAND","MINSTREL ISLAND",172,"Colombie-Britannique","British Columbia"
19703,"MISSION","MISSION",172,"Colombie-Britannique","British Columbia"
19704,"MOBERLY LAKE","MOBERLY LAKE",172,"Colombie-Britannique","British Columbia"
19709,"MORICETOWN","MORICETOWN",172,"Colombie-Britannique","British Columbia"
19714,"NAKUSP","NAKUSP",172,"Colombie-Britannique","British Columbia"
19715,"NAMU","NAMU",172,"Colombie-Britannique","British Columbia"
19716,"NANAIMO","NANAIMO",172,"Colombie-Britannique","British Columbia"
19717,"NANOOSE BAY","NANOOSE BAY",172,"Colombie-Britannique","British Columbia"
19718,"NARAMATA","NARAMATA",172,"Colombie-Britannique","British Columbia"
19720,"NELSON","NELSON",172,"Colombie-Britannique","British Columbia"
19723,"NEW DENVER","NEW DENVER",172,"Colombie-Britannique","British Columbia"
19725,"NEW WESTMINSTER","NEW WESTMINSTER",172,"Colombie-Britannique","British Columbia"
19728,"NIMPO LAKE","NIMPO LAKE",172,"Colombie-Britannique","British Columbia"
19730,"NORTH SAANICH","NORTH SAANICH",172,"Colombie-Britannique","British Columbia"
